circuit,cycles,samples,iterations,tvd
1,5,50,10000,0.08
2,5,303,1000,0.23
3,5,303,10000,0
4,5,303,1000,0.21
5,5,303,100000,0.15
6,5,303,10000,0
7,5,303,10000,0
8,5,303,100000,0.01
9,5,303,10000,0.01
10,5,303,100000,0
11,5,303,10000,0.05
12,5,303,100000,0
13,5,303,100000,0
14,5,303,10000,0.16
15,5,303,10000,0.01
16,5,303,10000,0.15
17,5,303,10000,0
18,5,303,10000,0
19,5,303,10000,0.02
20,5,303,10000,0.01
21,10,54,10000,0.28
22,10,54,1000,0.27
23,10,50,1000,0.25
24,10,43,10000,0.26
25,10,303,10000,0.01
26,10,54,1000,0.28
27,10,303,1000,0.28
28,10,50,1000,0.31
29,10,50,1000,0.34
30,10,303,1000,0.18
31,10,47,1000,0.26
32,10,303,1000,0.41
33,10,54,10000,0.27
34,10,303,10000,0
35,10,50,1000,0.37
36,10,47,1000,0.29
37,10,54,1000,0.31
38,10,303,1000,0.23
39,10,303,100000,0
40,10,47,10000,0.31
,,,,
,,,,
,,,,0.1033333333